cluster
3
8
8
8
8
3
8
3
8
8
8
1
1
3
8
8
1
1
8
1
1
1
3
3
8
8
1
1
3
3
1
1
1
8
1
1
8
8
1
1
3
3
8
1
1
3
1
1
1
3
3
3
1
1
3
3
8
1
3
3
3
3
3
8
1
1
1
3
4
1
3
8
3
3
3
3
8
8
1
3
3
4
4
4
7
4
3
7
4
4
3
7
4
4
4
0
7
7
0
0
3
7
4
7
4
4
4
7
0
7
7
7
7
4
4
4
4
4
4
7
4
7
7
7
7
7
4
0
0
0
7
4
0
7
7
7
4
4
0
0
7
4
4
0
7
0
7
7
4
4
4
4
4
7
7
7
5
5
0
0
0
7
7
7
7
4
5
0
0
5
5
5
0
0
7
4
5
5
5
5
5
5
5
0
5
5
5
5
0
7
5
7
5
5
5
5
5
5
0
5
5
5
7
5
5
5
5
5
5
5
6
7
5
5
5
6
6
6
9
5
6
9
5
6
5
9
6
6
5
6
6
2
2
9
6
9
2
9
9
9
2
9
9
9
2
2
9
9
9
2
6
9
2
2
6
9
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
9
9
2
2
