chm_mean,chm_median,chm_stdev,chm_max,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDII_max,NDII_mean,NDII_median,NDII_stdDev,GNDVI_max,GNDVI_mean,GNDVI_median,GNDVI_stdDev,EVI_max,EVI_mean,EVI_median,EVI_stdDev,elevation_mean,elevation_median,elevation_stdev,elevation_max,slope_percentage_mean,slope_percentage_median,slope_percentage_stdev,slope_percentage_max,aspect_degree_mean,aspect_degree_median,aspect_degree_stdev,aspect_degree_max,pr_avg_JJA_median,pr_avg_MAM_median,tas_avg_JJA_median,tas_max_JJA_median,tas_min_JJA_median,tas_avg_MAM_median,tas_max_MAM_median,tas_min_MAM_median,model,config,target
0.23,0.23,0.01,0.14,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.03,0.04,0.02,0.04,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,,,,,,,,RF,Conf3,CS
0.21,0.22,0.01,0.12,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.03,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.01,RF,Conf4,CS
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.0,,,,,,,,,SVR,Conf1,CS
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.18,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,SVR,Conf2,CS
0.08,0.1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,-0.0,0.23,-0.02,-0.03,-0.0,-0.03,-0.03,-0.01,0.0,0.02,,,,,,,,,SVR,Conf3,CS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.18,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,SVR,Conf4,CS
,,,,0.01,0.03,0.01,0.03,0.02,0.02,0.08,0.01,0.03,0.03,0.13,0.01,0.02,0.03,0.03,0.02,0.19,0.03,0.02,0.01,0.04,0.02,0.03,0.01,0.06,0.03,0.02,0.02,,,,,,,,,XGBoost,Conf1,CS
,,,,0.0,0.02,0.01,0.02,0.01,0.02,0.04,0.01,0.01,0.02,0.09,0.02,0.01,0.02,0.01,0.01,0.13,0.03,0.02,0.0,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.07,0.01,0.01,0.21,0.02,XGBoost,Conf2,CS
0.14,0.59,0.02,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,,,,,,,,,XGBoost,Conf3,CS
0.09,0.48,0.01,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.01,0.04,0.01,0.01,0.0,0.01,0.01,0.0,0.03,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.03,0.03,0.01,0.03,0.0,0.0,0.01,XGBoost,Conf4,CS
,,,,2.41,1.1,2.13,0.89,7.68,7.49,13.95,0.28,8.06,16.13,11.96,0.44,1.95,2.61,2.63,0.56,2.3,2.19,1.9,1.65,1.08,0.55,0.8,2.28,1.2,1.34,1.87,2.57,,,,,,,,,CatBoost,Conf1,CSE
,,,,3.53,2.37,1.35,0.0,6.77,10.11,5.07,0.9,10.64,12.32,2.59,0.45,5.48,2.4,3.55,1.11,0.34,0.77,1.28,0.56,1.22,0.58,3.86,1.3,2.87,1.58,1.44,2.26,5.27,3.18,0.85,0.59,0.4,0.85,0.7,1.46,CatBoost,Conf2,CSE
34.61,11.1,3.08,3.54,3.49,1.56,2.09,0.92,2.57,5.94,2.33,0.04,5.64,4.99,4.82,0.0,0.7,1.26,1.4,0.04,0.0,1.08,0.75,0.08,0.79,1.64,0.98,1.0,0.25,0.93,1.13,1.25,,,,,,,,,CatBoost,Conf3,CSE
