config,model,R2,MAPE,RMSE,NRMSE,s_R2,s_MAPE,s_RMSE,s_NRMSE
Conf1,AdaBoost,0.25549561648659214,2.184462279870861,52.610979846109174,68.58140836626508,0.08941092390669908,1.5130820722026295,4.594949743085426,6.9560426922140195
Conf1,BaggedDT,0.2996549907667997,2.479573158816897,51.01419575007721,66.49161636943285,0.07924880239174459,1.741850897981099,4.040795932136705,6.182928705161146
Conf1,BayesianNN,0.12644891224649102,3.9551763467180123,57.21800141830114,74.59691906514117,0.03332622849483954,3.2603823830434866,5.968229035729691,8.76366840072798
Conf1,CatBoost,0.3232515241446122,2.513251362563918,50.16615606210784,65.3979529945991,0.07311954778780619,1.8787655020941993,4.105459767236,6.388448667153503
Conf1,GBDT,0.30789866319015546,2.4244660746328544,50.810697479123654,66.23395566521289,0.04820773320069189,1.7615624408019743,4.217768946487456,6.457731271504568
Conf1,KNN,0.2544270891675255,3.1951802209794806,52.71083120071138,68.68402362161575,0.054984779803244656,2.7295217393846967,3.9811057712256384,5.822549635386234
Conf1,LightGBM,0.32207749345995035,2.357069084321478,50.120589924612524,65.32565613983661,0.09479051158024654,1.627818435418572,3.9793632322968184,6.074329761245637
Conf1,MLP,0.008812394063337559,3.690533905294655,61.029828791114674,79.58042738152749,0.17654270213817727,2.9760532340168204,10.222550828155395,14.022820150644323
Conf1,RF,0.3269994859259627,2.529424844334698,50.10915166255578,65.32310541126229,0.0653178667387545,1.8528710522153595,4.855905928801489,7.231424259142802
Conf1,SVR,0.20376811269160128,3.0406227929491063,54.58509622092496,71.15418503577028,0.04931331970503487,2.588251722109326,5.391526453793411,7.864539050197781
Conf1,StackEns,0.29932983628834176,2.6454422320336466,51.15752619282491,66.69201884828013,0.04495023818733999,1.9067340145481988,4.615329685247115,6.989928333046471
Conf1,XGBoost,0.27072613818237856,2.2646170735011824,52.17278673811836,68.01963516149117,0.06171604785359084,1.6867158982316421,4.9613034509676455,7.487660563641909
Conf2,AdaBoost,0.28273540399496977,2.3459191631054344,51.57892807455338,67.2148138126515,0.0924669961603662,1.6552576664001042,3.582884160336182,5.498963127360434
Conf2,BaggedDT,0.29776801379752105,2.4682833354017237,51.180189795226056,66.71983049611451,0.055010726764955935,1.7159112570742472,4.434479591186391,6.771110715027248
Conf2,BayesianNN,0.11526779262700744,3.8119727968398074,57.54682251017139,75.01933660104616,0.03922992559730324,2.968919731364819,5.634204376078562,8.311407735003586
Conf2,CatBoost,0.31412805458654464,2.7342462047716842,50.55058729641478,65.90118631159353,0.061964607712217686,2.0905782806712536,4.275293992934199,6.610670144663612
Conf2,GBDT,0.30130713592612224,2.3763936828356655,51.04837899097662,66.55117981078968,0.06427517800789286,1.7159143291860204,4.597442658399482,6.966660813625687
Conf2,KNN,0.2635685255676525,3.2111967283438276,52.440247801809775,68.35100274228364,0.039583105377282546,2.8482746666452914,4.308708692202826,6.462388473299392
Conf2,LightGBM,0.3202766331969661,2.385015259253309,50.2293746686269,65.47086425355567,0.08152841859100432,1.6427069945490447,3.706891857915699,5.8119319722175105
Conf2,MLP,0.210977856264835,3.600701524673223,54.36843027924484,70.8869770485813,0.08365734675320181,3.543860944651981,6.540045278167027,9.32258388276248
Conf2,RF,0.32267852139845243,2.6328806421835513,50.30316770199262,65.57302126474785,0.026475911420289596,1.941801511897882,4.210150528101048,6.435009498920396
Conf2,SVR,0.21219219651833826,2.709698507212429,54.32392365221053,70.81996569874472,0.038965386731265796,2.127855971656468,5.540124187756163,8.103563069852582
Conf2,StackEns,0.2787156160378366,2.6380371432478933,51.88318483437301,67.64643577325691,0.07300792006071569,1.8081096366424345,5.114012364044979,7.661596163956953
Conf2,XGBoost,0.2729253021674952,2.295804362078196,51.9900844071719,67.76021202524103,0.07111545212139501,1.6535595943560744,3.5723551903161135,5.616329509520997
Conf3,AdaBoost,0.7089694729371708,0.7952248275017304,32.420717915263786,42.267301011056986,0.0988544993349643,0.4003237553963107,4.918188483831405,6.827493149214285
Conf3,BaggedDT,0.69833239497774,0.6605300433341234,33.19898167116268,43.28314399727519,0.07911356333041938,0.268727325504169,4.270232436412984,6.10594998227495
Conf3,BayesianNN,0.6577553621524228,0.7320339423195852,35.110484158867834,45.774278411619704,0.12512555894943414,0.12253822254268541,6.500872812072735,8.887502037160816
Conf3,CatBoost,0.7297096404882218,0.9428752143697334,31.497294937353836,41.06953201421134,0.06566881386786506,0.613936434490791,4.095869455496322,5.892038226816128
Conf3,GBDT,0.6840781370213358,1.1795741412365532,34.15849885300248,44.54218366414581,0.06678219836883048,0.6909624984857298,4.464409035783098,6.428111299395484
Conf3,KNN,0.26155049697155636,3.3391440022131165,52.51297382307132,68.43711408819088,0.03415013229944033,2.952941603200054,4.252077548193442,6.2786545988998315
Conf3,LightGBM,0.7040035990015311,0.7300992436057652,32.90850811430745,42.906525659536385,0.07984986007889483,0.3747932894649269,4.665056417180127,6.603427255309814
Conf3,MLP,0.4338001697879809,0.9673778583463758,44.02802898922975,57.3604106554551,0.33382435671543814,0.3759924100631815,11.076691259380723,14.534062694676788
Conf3,RF,0.7075405384001666,1.2568304096408067,32.901183662568734,42.899775600552395,0.05574198533236884,0.8643341328166917,4.013067889976087,5.83989769515361
Conf3,SVR,0.26975473308298326,2.6308714211015434,52.04732269542528,67.81606297392855,0.09297024087361426,2.3733422811833123,3.766127829101774,5.528951205951548
Conf3,StackEns,0.6842524711187244,0.7529385144964608,33.85588786547552,44.13274425697087,0.09481630479222765,0.31238193738362297,4.801904002780415,6.7021203437515755
