epoch,train_loss,test_loss,train_R2,test_R2,train_RMSE,test_RMSE,train_%RMSE,test_%RMSE
1,1.1776884587911458,0.6294316202402115,-0.17227640378917375,-0.05970720923470996,69.42673421535751,52.01071960919284,88.69289745616229,66.44387746383347
2,0.7768400334394895,0.45991530269384384,0.18851459844031704,0.2579856646694847,56.38678485518312,43.521721550850955,72.58943129890757,56.02761399926285
3,0.6817913009570196,0.43335024267435074,0.3057743113909609,0.2762776050412479,52.82472658394902,42.981931137713076,69.4153628252909,56.48124539015789
4,0.7455285489559174,0.4622050002217293,0.25317112545291953,0.238804109057417,55.23872841689243,44.08066481236069,71.38884375309308,56.968503494004196
5,0.6644933200799502,0.5687704384326935,0.33151356323641334,0.07531119238480866,52.15030336760193,48.58449788177661,67.23611253832368,62.63880660810225
6,0.6383419655836545,0.4416094869375229,0.37561298514877095,0.27554288405655714,51.113808343600425,43.003743172370406,65.55977964288189,55.157618216344
7,0.52481920673297,0.4817136824131012,0.4502453887583996,0.2161516256570899,46.34644091483165,44.73175619621822,61.00431766766391,58.87896051913055
8,0.5220015358466369,0.47682422399520874,0.49133484986165865,0.20913714041241827,46.22186054038393,44.931457702518486,58.84053201812938,57.19784631465432
9,0.4190159130554933,0.5192422717809677,0.5947010045632413,0.13168694100987655,41.41205523736388,47.080176738100036,53.67376092757705,61.02015792707882
10,0.42335544526576996,0.5346606373786926,0.5749073960941942,0.11265229273967015,41.62594540174638,47.59341125427947,54.28376500091756,62.06584684586988
11,0.42139265399712783,0.6140194833278656,0.5951397928007183,-0.01621435514865377,41.529338090125734,50.93221702237152,53.73064709827911,65.89608947831228
12,0.461651752774532,0.5318494886159897,0.5461283289177958,0.11964969527075775,43.467911606089345,47.40538495774993,55.9085620836627,60.972952462685306
13,0.3488180133012625,0.5619559586048126,0.6556708634315682,0.056113244990990796,37.78426572569707,49.086251041214254,48.87606104764986,63.49581119050299
14,0.3899620748483218,0.8484237194061279,0.6032442090957124,-0.33312498039643645,39.95054577716937,58.335825972710225,51.587072704068845,75.32749395944133
15,0.48721019006692445,0.47638459503650665,0.46683972672449037,0.19805381254857202,44.654961239402226,45.24520202286137,60.05659188655793,60.850408494234884
16,0.4586653331151375,0.46977321058511734,0.5345463968563531,0.22774227923963475,43.327087155670625,44.39980345729594,56.27940230531504,57.672799283093156
17,0.3643592974314323,0.6732570827007294,0.6408133286659403,-0.13124229840231405,38.61681548757784,53.737534375615205,49.947438110586404,69.50475171379549
18,0.2750277060728807,0.5855109542608261,0.7347737416689804,0.029216642354344735,33.5505586529511,49.780709195437204,42.74591721747664,63.42434104620386
19,0.23830383041730294,0.6061723157763481,0.7692185578335268,-0.017401256068032778,31.230364037083024,50.9619518189351,40.5375035750633,66.14941476824492
20,0.23526979008546242,0.5033284574747086,0.7674325811230636,0.16201396869476248,31.03091740598987,46.250699754501966,39.57319112937924,58.98271576396065
21,0.17463154116502175,0.5427800193428993,0.8204625080209997,0.11974414976316605,26.73455028083036,47.40284178166424,35.270529493036676,62.53792607511224
22,0.17776320215601188,0.5080120712518692,0.8228651125029132,0.19433349680386858,26.97319929590152,45.35002929832894,34.387615062625585,57.81588359178013
23,0.14560475057134262,0.5211017802357674,0.8519730261802696,0.14789924495485074,24.41177197532409,46.63858797051696,32.14831411493772,61.41921927948982
24,0.1419746563411676,0.5158054977655411,0.8618453233409971,0.15802360480208888,24.105544328457956,46.36068842295404,31.26037058424788,60.121119062699194
25,0.15528466925024986,0.5539686530828476,0.8396765707459404,0.12221873752403523,25.210173298920488,47.33616511671324,34.08169777012761,63.99388270661988
26,0.1453581306223686,0.5641135573387146,0.8614116671062735,0.06681407388446614,24.39108924374108,48.80721290666817,31.272362653323523,62.576822497050344
27,0.10195493296935008,0.5774613469839096,0.8991173000762719,0.07246710592382266,20.427520217354235,48.65915674261999,26.371222341760674,62.8172890183738
28,0.11474821630578774,0.6044321581721306,0.8841894305001777,0.01607426424079006,21.671276828308702,50.11653979567399,28.548873848312496,66.0215262661241
29,0.11734453187539028,0.5523176193237305,0.8850591840429731,0.11041906184011452,21.915074890445727,47.65326393960414,28.21692906908432,61.356339196466934
30,0.08121886820747302,0.5561397224664688,0.9207693695753254,0.1186928658468357,18.23223867364409,47.43113979011142,23.41117678536734,60.90413901628842
31,0.07024447691555206,0.643416129052639,0.9297364016021675,-0.04228935520819177,16.955774099032553,51.58151211776234,22.378679761662394,68.07864592696914
32,0.07002653568409957,0.5906538590788841,0.9299517561167265,0.07631200715937747,16.929449977175455,48.558198630181266,21.888153181743977,62.78108806133146
33,0.06687047533117808,0.6553292497992516,0.9307544912060585,-0.04198275702110332,16.543551088527458,51.573924991784004,21.590938205713837,67.30897263622765
34,0.058915722828644976,0.6500832661986351,0.9406565220479571,-0.04226937682101295,15.52841530652049,51.5810177635058,20.205238982322424,67.11610749008129
