epoch,train_loss,test_loss,train_R2,test_R2,train_RMSE,test_RMSE,train_%RMSE,test_%RMSE
1,1.0270168781280518,1.0738233178853989,-0.0018098016558407704,-0.009464395168582662,1.2032985685978108,1.2641715728149179,73.18255014254802,76.88474160167786
2,0.9676919946303735,1.0714897364377975,0.0068752591796750195,-0.006354816500051319,1.1680278117758784,1.2622229786073045,71.57234610072176,77.34427123255901
3,1.0102541859333332,1.0711248070001602,-0.00045969418046776234,-0.004444945555906132,1.1934382049345422,1.2610246796604858,72.84963732064728,76.97523858865439
4,0.9740937168781574,1.0658626705408096,0.02159367398931189,-9.674469093123861e-05,1.1718849500080213,1.2582922573257505,70.73212954346191,75.94746476443007
5,1.0303672231160677,1.0607910603284836,0.008057824516420342,0.004231405192147264,1.205259663244062,1.255566529744923,72.25717622057056,75.27315047799607
6,0.94451177578706,1.0580071955919266,0.02471030729588508,0.007393885046158122,1.1539534690516093,1.2535711557440903,72.7569637745827,79.03787597457749
7,0.9205224238909208,1.0532338321208954,0.0304993534439566,0.011600739244236213,1.1392047670457488,1.2509118982132412,70.14614960458381,77.02447855952147
8,0.9470850275113032,1.0486245155334473,0.02940159101272921,0.01574697973949779,1.1555243415210947,1.2482854128865217,71.28899200330845,77.01179942256482
9,0.9881732051189129,1.044078752398491,0.027410289488124184,0.01994296824299413,1.1803237459549127,1.245621775896166,70.81232659013725,74.72981570084876
10,0.9385166764259338,1.0417695343494415,0.03353301513463469,0.023468431708136395,1.15028539139155,1.2433793806976379,71.14729860027006,76.90533560970994
11,0.952813806442114,1.0345318764448166,0.035366886849833024,0.029886980915776684,1.1590138636192309,1.239286400423642,69.68949694838112,74.5161456057156
12,0.9940843398754413,1.025812417268753,0.03262352188619255,0.0352071159088988,1.1838487604200278,1.2358835829251238,70.6286421527924,73.73304955774888
13,0.9733572923220121,1.0185088366270065,0.04866814180100609,0.042982650079574136,1.1714418775468793,1.230893343400473,70.01813160674824,73.57159903875443
14,0.9885902221386249,1.0096111595630646,0.04790845201805849,0.05123211804313321,1.1805727720634025,1.2255767248962057,70.34511555367398,73.02670226930053
15,0.9091978050195254,1.0018627494573593,0.08469809876646517,0.05989869331199171,1.1321756304054271,1.2199663325368273,68.91869871668752,74.26276441447487
16,0.953614028600546,0.9905633628368378,0.06992530448534173,0.0696731348472791,1.1595004617641025,1.2136076310410284,69.67563168262487,72.92698976504667
17,0.9331206473020407,0.9799683690071106,0.0780131926093196,0.07879093860110653,1.1469738195751134,1.2076459188669362,68.75700598283679,72.3940828042977
18,0.9416247193629925,0.9664742350578308,0.0990747444203155,0.09108433200393595,1.1521884990379887,1.1995609304099912,68.61699419553412,71.43819389609966
19,0.926273559148495,0.9517246037721634,0.09966935330293836,0.1056243206316736,1.1427579312906442,1.1899275177019952,67.92001059684752,70.72354292962206
20,0.8931937767909124,0.9353428781032562,0.12518531062538396,0.11971326932040116,1.1221668820182085,1.1805179503879013,66.9542117901574,70.4357347725323
21,0.8424289914277884,0.9162428826093674,0.13543341303951895,0.13790836657481154,1.0898111832202664,1.168253881360217,65.2301364061517,69.92528725293961
22,0.7938290398854476,0.8972915410995483,0.1609025590683556,0.15517809283150164,1.0579084743772607,1.1564932464383797,65.27356486805655,71.35630233541826
23,0.848231913951727,0.8812041878700256,0.1820592098452397,0.16937153941312133,1.0935582186889035,1.1467372529985147,65.79853166142274,68.99827202544287
24,0.7897379467120538,0.8612176775932312,0.18043344154044316,0.18948775846357313,1.055178923157839,1.1327662648509425,65.06933459055398,69.85388495051697
25,0.7929335465798011,0.8546888381242752,0.16664643556099368,0.1939004700064384,1.0573116267656169,1.1296784688928379,65.31155106177088,69.7817475347156
26,0.8026372033816117,0.8386197090148926,0.184246422498354,0.2101478102704355,1.0637614585450776,1.1182358996958273,64.52157160109333,67.82567378199472
27,0.7852944135665894,0.8284823596477509,0.20709796406596415,0.22036544181633688,1.0522062102439569,1.1109795328292866,63.25581472214022,66.78910921125014
