epoch,train_loss,test_loss,train_R2,test_R2,train_RMSE,test_RMSE,train_%RMSE,test_%RMSE
1,1.1446330812242296,0.8550084866583347,-0.13905403702201413,0.07367567317733192,66.049070635011,58.36128141377105,86.1628550861486,76.13391959570083
2,0.9677322440677218,0.7976946476846933,0.03943791360839133,0.12970278974698135,60.73110266354924,56.568814821266045,79.38969439974568,73.9486148653711
3,1.1517317858007219,1.343116469681263,-0.1540520691442835,-0.3985618990534596,66.25356208191585,71.71072784479625,87.72717835199315,94.9530804640137
4,1.2306508079723075,1.3020559251308441,-0.2245827508692284,-0.36559069478708306,68.48587027450543,70.86039331790398,89.26927120306539,92.36439054212681
5,1.1353633094716955,1.2320073619484901,-0.1644803188514381,-0.35454303691541256,65.78107784337638,70.57318020092403,87.87709712226784,94.27887797020004
6,0.9110337970433412,0.8696626126766205,0.09446619315788274,0.06391770812022413,58.92516475488527,58.66786703451986,77.52029572255267,77.18180205088565
7,0.7463035660761373,0.9552978575229645,0.26143999346320235,-0.022530484701212217,53.33242311785034,61.3170731441917,69.87916966636017,80.34111160146166
8,0.9003485330828914,0.9265396147966385,0.10940502958179055,-0.018847225959311764,58.57858741498586,61.20653834995459,76.64028122312477,80.07851535584221
9,0.9671278982250778,0.8575230222195387,0.039194513002418274,0.061874312643498186,60.71213679746217,58.731865842837344,79.71180512998433,77.11181473652776
10,0.8514996965726217,0.8661048971116543,0.15553716226561654,0.048994918038324675,56.96732250309744,59.13365225768993,74.36029573346072,77.18803827303564
11,0.8529225521617465,0.9241750612854958,0.1538550699750607,-0.0019700687437766984,57.014899255602515,60.69747967358361,74.48604343090793,79.29708139699882
12,0.8829576902919345,0.8363659754395485,0.09812271141707674,0.08099276613394002,58.01008583421167,58.1303247446423,77.14454172792922,77.30444108869806
13,0.7001203480694029,0.8969683274626732,0.3084729727366953,0.025470004541878644,51.65589764674499,59.86057575561039,67.83942164807307,78.614582724944
14,0.6317337574782195,0.8659194018691778,0.36084427638486505,0.05434752003040966,49.068253832038835,58.96700460274856,64.98366908944772,78.0931053185133
15,0.8380845078715572,0.9521479047834873,0.14922630863077435,-0.010559641270020403,56.5167869729632,60.95709461060011,74.87329814743705,80.75580660953655
