epoch,train_loss,test_loss,train_R2,test_R2,train_RMSE,test_RMSE,train_%RMSE,test_%RMSE
1,1.1235200553028672,0.5772191472351551,-0.17627148465111375,-0.1300158198074175,68.76196324303467,48.528296807496424,86.7690919519378,61.236707757716914
2,0.9978783064418368,0.4871767181903124,-0.007873702308806463,-0.005383423712335356,64.8032288451731,45.77397706799242,82.64328189072468,58.37535810333989
3,0.9756169702719759,0.5163621921092272,0.009780646796549552,-0.03914974904980317,64.07631436220636,46.536300586114464,81.24002714772047,59.001681988131125
4,0.9896238600766217,0.44603367894887924,0.023197598638213468,0.08098967523224765,64.53464577965332,43.76359423713463,81.07628097069876,54.98115655228815
5,0.9048402982729452,0.3939766027033329,0.08546028085956914,0.17891924774648815,61.7083345247296,41.3662091286045,78.13696635971652,52.37914968869324
6,0.8567278959133007,0.6001368314027786,0.12704410198059124,-0.2645001093499224,60.04534037809011,51.33484121915057,75.81074848348382,64.81323465899865
7,0.8533733741000846,0.5060840249061584,0.12016289796757817,-0.06243401488051137,59.92767069955154,47.05478254631648,76.57491252490661,60.12607890981572
8,0.7865134124402646,0.3350255060940981,0.21331441364188286,0.28389196841297715,57.532191530447996,38.63154343776213,72.75244056541118,48.85159061633272
9,0.7595555522927532,0.29474696703255177,0.24759107302314443,0.3703283107601024,56.5376331764105,36.22512319756584,71.21468813272236,45.629091742037495
10,0.8033459120326572,0.30284507013857365,0.20173724475836619,0.346950655888682,58.144568237664174,36.89145517870092,72.80116119968612,46.19074243320058
11,0.8324325382709503,0.4187116837128997,0.17351524590974476,0.10513531264277787,59.18782479496997,43.18485569560925,73.70657075575494,53.778080761231074
12,0.8047339607168127,0.5319329984486103,0.2063816251302949,-0.13733869718828418,58.1947785955238,48.68528261914999,72.98186578397376,61.05604055067122
13,0.6090899046372484,0.37264565378427505,0.37285942393330407,0.19623238741917948,50.62890764119146,40.92776590002239,63.715164480169925,51.506529720269675
14,0.7400123245186276,0.46145630441606045,0.25489507370807485,0.039274887114833956,55.80554118557272,44.745808433981395,70.97396128932752,56.90809923502882
15,0.7725432222640073,0.33746800385415554,0.23022810010445804,0.29030042433054704,57.018953882388956,38.458297993200695,71.42397102436576,48.174232855597666
16,0.9992965145243539,0.4377951119095087,0.011451149559537854,0.095735614496685,64.84926235263568,43.41107101800223,81.18513404969273,54.34654908906612
17,0.832064708073934,0.4321867972612381,0.17459417882627082,0.09093570521220973,59.174746387825195,43.526133287078196,74.740512693112,54.97557177692052
18,0.6539681443461666,0.35527561977505684,0.30184639574246874,0.23075189500459437,52.46094993941056,40.03925655819885,67.55824091879965,51.56181395671502
