epoch,train_loss,test_loss,train_R2,test_R2,train_RMSE,test_RMSE,train_%RMSE,test_%RMSE
1,5.659360040878427,4.622186799844106,-4.6478191677577145,-1.2432160924219868,137.96403467912037,112.5034820095766,185.8276550790006,151.53411755959704
2,38.49760731335344,6.666651646296184,-37.115374495161376,-2.6992993363298425,359.83142821226335,144.4741491728319,488.5464847763528,196.15389925808583
3,32.82985772757694,21.2992361386617,-31.748152095396037,-12.3639987545478,332.2895789931129,274.598791440648,452.26925934750614,373.74807960846766
4,74.75420797282251,15.161412239074707,-73.59358953758465,-7.603953391777793,501.41814146993556,220.33294169173,691.6289039510308,303.91527223131925
5,80.22573260603279,71.48130226135254,-79.64220453835601,-42.2151308601206,519.4444030382506,493.796860557567,714.5148097078522,679.2356752559787
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
