epoch,train_loss,test_loss,train_R2,test_R2,train_RMSE,test_RMSE,train_%RMSE,test_%RMSE
1,1.0270178318023682,1.4423517882823944,-0.0051706697504345644,0.010562396942494723,59.470264678602874,69.81437857776154,75.79783825208868,88.98193078012669
2,1.0178074011435876,1.4317595809698105,0.001947121089367787,0.01792975676167241,59.202995253376024,69.55397373446822,73.97869741728464,86.91304139343468
3,1.0247900761090791,1.4672986268997192,-0.007186319203057234,-0.006433167293520059,59.40572940112268,70.41142622046577,74.96986049278102,88.85901838192568
4,1.001263746848473,1.4527685046195984,0.014766758652822176,0.0036854766858017696,58.7198754778374,70.05657503962735,75.27372316148305,89.80637632933869
5,1.0161316784528585,1.455851137638092,0.0013078395979235768,0.0017470056570156878,59.15423930356645,70.12469441673062,74.30150147216722,88.08109354092987
6,0.9718668231597314,1.4404338002204895,0.01921125368960419,0.012479882691527888,57.851450531198715,69.74669720195173,73.91537456497382,89.11363848295977
7,0.9301484548128568,1.4227069914340973,0.03342224654634718,0.024821963146436588,56.5961659512307,69.30947778985185,71.91581293107345,88.07040822130084
8,0.9629620451193589,1.4238384068012238,0.028949634207223962,0.024204303107308145,57.585808238272335,69.33142399688862,74.57390193393421,89.78453150628388
9,0.9284655772722684,1.4182729721069336,0.0341615559733065,0.028293525679456644,56.54494438372219,69.18599946095262,73.31014361313724,89.6991872886337
10,0.9772365070306338,1.4136587381362915,0.0401600948015115,0.03164434242269176,58.01104848204693,69.06660650833774,72.49161350745995,86.30683078971948
11,0.9669703795359685,1.416010469198227,0.040970856546010403,0.03027552211506479,57.70553349976859,69.11540386250056,73.26254828064954,87.74844118603193
12,0.9372125841104068,1.4143879264593124,0.05216673073251987,0.031798666004674736,56.81067274323138,69.0611028327415,72.72671803061615,88.40922154365063
13,0.9346450246297396,1.4294476509094238,0.04919870700377704,0.02199665763685088,56.73280110522772,69.40980758267997,72.75736886494526,89.01508254054065
14,0.9039045847379245,1.4160774946212769,0.07813448133492429,0.031525826364087406,55.7920304961917,69.07083287469499,70.28180927966035,87.0092566933545
15,0.9287072213796469,1.4132952690124512,0.0703136276892038,0.03394278904473458,56.5523018272243,68.98459107463515,71.78332814408395,87.56396075839503
16,0.9233656112964337,1.4003756046295166,0.0809851146542847,0.04336951510104925,56.38943226933747,68.64719230768682,72.08422582703022,87.75367145147902
17,0.9226630238386301,1.4019699543714523,0.09052009140954953,0.043102875369768645,56.367975078866316,68.65675858950225,71.41064209218891,86.97887777563514
18,0.9125790504308847,1.3806737959384918,0.10874638762423494,0.05778761533072263,56.059099883138025,68.12791143100863,70.92232577070374,86.19100090190702
19,0.9225356945624719,1.3899108469486237,0.10052501574548844,0.05217738146474926,56.36408521543536,68.33043808760667,71.39843005336444,86.55664304080112
