config,model,R2 (val),MAPE (val),RMSE (val),%RMSE (val),R2 (train),MAPE (train),RMSE (train),%RMSE (train)
Conf3,BaggedDT,0.71 ± 0.08,0.67 ± 0.35,32.49 ± 9.22,42.40 ± 12.44,0.96 ± 0.01,0.24 ± 0.05,12.33 ± 0.98,16.06 ± 1.51
Conf3,BayesianNN,0.68 ± 0.08,0.68 ± 0.22,34.34 ± 10.00,44.86 ± 13.71,0.74 ± 0.02,0.74 ± 0.09,31.57 ± 2.68,41.10 ± 3.49
Conf3,CatBoost,0.70 ± 0.07,0.92 ± 0.73,33.48 ± 9.72,43.79 ± 13.72,0.97 ± 0.00,0.40 ± 0.08,11.23 ± 1.02,14.61 ± 1.18
Conf3,DeepCNN,0.22 ± 0.12,2.44 ± 1.79,53.59 ± 13.78,70.46 ± 20.03,0.55 ± 0.36,1.67 ± 0.96,38.34 ± 19.05,50.16 ± 24.94
Conf3,GBDT,0.68 ± 0.07,0.95 ± 0.49,34.01 ± 8.77,44.42 ± 12.21,1.00 ± 0.00,0.00 ± 0.00,0.01 ± 0.00,0.02 ± 0.00
Conf3,KNN,0.18 ± 0.18,4.02 ± 4.02,53.50 ± 7.21,69.84 ± 11.22,0.39 ± 0.05,3.13 ± 0.68,47.94 ± 1.44,62.39 ± 1.49
Conf3,LightGBM,0.69 ± 0.05,0.80 ± 0.43,33.77 ± 8.28,44.12 ± 11.63,0.91 ± 0.01,0.49 ± 0.09,18.22 ± 1.96,23.72 ± 2.50
Conf3,MLP,0.63 ± 0.08,1.36 ± 0.97,36.81 ± 9.95,48.16 ± 14.06,0.69 ± 0.06,1.06 ± 0.40,33.93 ± 4.14,44.17 ± 5.43
Conf3,RF,0.71 ± 0.06,1.25 ± 0.86,32.44 ± 8.94,42.38 ± 12.29,0.86 ± 0.01,0.84 ± 0.12,22.72 ± 1.67,29.59 ± 2.29
Conf3,SVR,0.34 ± 0.10,1.60 ± 1.52,49.21 ± 10.67,64.29 ± 15.16,0.80 ± 0.02,0.51 ± 0.31,27.31 ± 2.54,35.49 ± 2.58
Conf3,StackEns,0.72 ± 0.09,0.65 ± 0.29,31.91 ± 9.21,41.61 ± 12.24,0.92 ± 0.02,0.44 ± 0.15,17.22 ± 1.87,22.45 ± 2.89
Conf3,XGBoost,0.68 ± 0.11,0.68 ± 0.40,33.98 ± 11.14,44.41 ± 15.16,0.99 ± 0.00,0.23 ± 0.06,5.85 ± 0.50,7.63 ± 0.83
Conf3,▸ Average,0.59 ± 0.09,1.30 ± 0.96,37.86 ± 9.81,49.50 ± 13.73,0.83 ± 0.04,0.79 ± 0.24,21.20 ± 2.97,27.62 ± 3.87
Conf3,▸ Ensemble,0.73 ± 0.07,0.86 ± 0.58,31.55 ± 9.35,41.22 ± 12.82,0.95 ± 0.01,0.54 ± 0.11,13.58 ± 1.11,17.69 ± 1.59
Conf4,AdaBoost,0.70 ± 0.10,0.82 ± 0.46,33.42 ± 11.35,43.69 ± 15.41,0.98 ± 0.00,0.57 ± 0.15,9.09 ± 0.80,11.84 ± 1.09
Conf4,BaggedDT,0.69 ± 0.08,0.67 ± 0.34,33.64 ± 9.71,43.93 ± 13.27,0.96 ± 0.01,0.23 ± 0.03,12.83 ± 1.16,16.71 ± 1.63
Conf4,BayesianNN,0.67 ± 0.06,0.72 ± 0.16,34.98 ± 9.85,45.74 ± 13.79,0.74 ± 0.02,0.77 ± 0.13,31.10 ± 2.63,40.49 ± 3.43
Conf4,CatBoost,0.71 ± 0.07,0.78 ± 0.47,32.58 ± 9.62,42.58 ± 13.30,1.00 ± 0.00,0.16 ± 0.02,3.60 ± 0.23,4.69 ± 0.35
Conf4,DeepCNN,0.30 ± 0.11,2.87 ± 1.88,50.87 ± 12.84,66.45 ± 18.49,0.32 ± 0.11,2.80 ± 0.87,50.48 ± 4.22,65.63 ± 6.24
Conf4,GBDT,0.67 ± 0.06,0.94 ± 0.49,35.06 ± 9.20,45.83 ± 12.99,1.00 ± 0.00,0.00 ± 0.00,0.01 ± 0.00,0.01 ± 0.00
Conf4,KNN,0.14 ± 0.26,3.04 ± 3.06,54.17 ± 5.09,70.68 ± 8.61,0.55 ± 0.01,1.90 ± 0.59,41.05 ± 2.04,53.41 ± 1.93
Conf4,LightGBM,0.69 ± 0.05,0.75 ± 0.36,33.88 ± 8.69,44.27 ± 12.15,0.92 ± 0.01,0.44 ± 0.08,17.51 ± 1.93,22.79 ± 2.43
Conf4,MLP,0.53 ± 0.07,0.91 ± 0.32,41.53 ± 10.01,54.21 ± 13.72,0.62 ± 0.09,0.96 ± 0.40,37.61 ± 4.24,48.89 ± 4.77
Conf4,RF,0.69 ± 0.05,1.44 ± 1.01,33.70 ± 8.98,44.03 ± 12.43,0.87 ± 0.01,0.92 ± 0.13,22.40 ± 1.68,29.16 ± 2.17
Conf4,SVR,0.17 ± 0.17,2.70 ± 2.53,53.85 ± 7.88,70.37 ± 12.47,0.66 ± 0.01,1.34 ± 0.63,36.03 ± 1.51,46.88 ± 1.16
Conf4,StackEns,0.70 ± 0.08,0.65 ± 0.24,32.83 ± 9.25,42.84 ± 12.42,0.92 ± 0.02,0.47 ± 0.19,17.43 ± 2.12,22.68 ± 2.63
Conf4,XGBoost,0.66 ± 0.11,0.66 ± 0.34,35.21 ± 11.77,46.08 ± 16.35,1.00 ± 0.00,0.08 ± 0.02,2.21 ± 0.36,2.88 ± 0.48
Conf4,▸ Average,0.56 ± 0.10,1.30 ± 0.90,38.90 ± 9.56,50.82 ± 13.49,0.81 ± 0.02,0.82 ± 0.25,21.64 ± 1.76,28.16 ± 2.18
Conf4,▸ Ensemble,0.72 ± 0.07,0.90 ± 0.53,31.89 ± 9.81,41.66 ± 13.35,0.96 ± 0.00,0.52 ± 0.11,11.82 ± 1.00,15.38 ± 1.28
